strategy_id,n_windows,mean_oos_sharpe,total_oos_return,max_dd
dual_momentum,12,-0.5775,-0.0872,-0.046
magic_formula,12,-0.752,-0.4157,-0.1787
risk_parity,39,0.733,2.8136,-0.4408
dividend_carry,12,-0.2799,-0.2737,-0.278
gap_fade,12,6.8672,3.3117,-0.0005
sector_momentum,12,0.0,0.0,0.0
microstructure,39,-0.5075,-0.0056,-0.0029
beta_hedge,38,0.7873,0.305,-0.0791
covered_call,12,0.2313,0.0936,-0.0702
rebalance_drift,12,-0.438,-0.0024,-0.0043
macd,39,0.4103,1.1846,-0.1936
supertrend,39,0.0,0.0,0.0
ichimoku,39,-0.114,0.0793,-0.1442
hull_ma,12,-0.5976,-0.3212,-0.2635
parabolic_sar,39,0.3708,1.5927,-0.1939
stochastic,12,0.3148,-0.1333,-0.2256
williams_r,39,0.6122,0.4806,-0.4069
mfi,12,0.4568,0.0779,-0.0804
keltner_mr,39,0.7113,0.4888,-0.3659
zscore_mr,39,0.3636,0.3183,-0.13
ou_process,12,0.8863,0.3305,-0.1031
vol_breakout,12,0.2233,-0.0605,-0.0962
bollinger,12,-0.2077,-0.0783,-0.0864
vwap_dev,12,0.0895,-0.0063,-0.034
quality,12,-0.2921,-0.2527,-0.1839
size_factor,12,-0.1194,-0.2414,-0.2781
high_52w,12,-0.0758,-0.1085,-0.1727
magic_formula_real,12,-0.6554,-0.3874,-0.1785
breakout_volume,12,0.0,0.0,0.0
covered_call_real,8,-0.4336,-0.1477,-0.193
ml_overlay,12,-0.3587,-0.0859,-0.0864
